in00 (subrange from 0 to 2e-06) X,in00 (subrange from 0 to 2e-06) Y,in01 (subrange from 0 to 2e-06) X,in01 (subrange from 0 to 2e-06) Y,in10 (subrange from 0 to 2e-06) X,in10 (subrange from 0 to 2e-06) Y,in11 (subrange from 0 to 2e-06) X,in11 (subrange from 0 to 2e-06) Y,s1 (subrange from 0 to 2e-06) X,s1 (subrange from 0 to 2e-06) Y,s0 (subrange from 0 to 2e-06) X,s0 (subrange from 0 to 2e-06) Y,out (subrange from 0 to 2e-06) X,out (subrange from 0 to 2e-06) Y
1.055834533825929e-10,0,1.055834533825929e-10,0.33,1.055834533825929e-10,1,1.055834533825929e-10,0.66,1.055834533825929e-10,1,1.055834533825929e-10,0,1.055834533825929e-10,-0.0003146046349788124
1.094392202104751e-10,0,1.094392202104751e-10,0.33,1.094392202104751e-10,1,1.094392202104751e-10,0.66,1.094392202104751e-10,1,1.094392202104751e-10,0,1.094392202104751e-10,-0.0003486961739813857
1.145275903412896e-10,0,1.145275903412896e-10,0.33,1.145275903412896e-10,1,1.145275903412896e-10,0.66,1.145275903412896e-10,1,1.145275903412896e-10,0,1.145275903412896e-10,-0.0003944094082334122
1.203587547897978e-10,0,1.203587547897978e-10,0.33,1.203587547897978e-10,1,1.203587547897978e-10,0.66,1.203587547897978e-10,1,1.203587547897978e-10,0,1.203587547897978e-10,-0.0004479103400373869
1.271230808933911e-10,0,1.271230808933911e-10,0.33,1.271230808933911e-10,1,1.271230808933911e-10,0.66,1.271230808933911e-10,1,1.271230808933911e-10,0,1.271230808933911e-10,-0.0005114797821092885
1.355381565859101e-10,0,1.355381565859101e-10,0.33,1.355381565859101e-10,1,1.355381565859101e-10,0.66,1.355381565859101e-10,1,1.355381565859101e-10,0,1.355381565859101e-10,-0.0005927199187691352
1.466790627028349e-10,0,1.466790627028349e-10,0.33,1.466790627028349e-10,1,1.466790627028349e-10,0.66,1.466790627028349e-10,1,1.466790627028349e-10,0,1.466790627028349e-10,-0.0007036602035571162
1.624569569716654e-10,0,1.624569569716654e-10,0.33,1.624569569716654e-10,1,1.624569569716654e-10,0.66,1.624569569716654e-10,1,1.624569569716654e-10,0,1.624569569716654e-10,-0.0008665632681977566
1.865757772047073e-10,0,1.865757772047073e-10,0.33,1.865757772047073e-10,1,1.865757772047073e-10,0.66,1.865757772047073e-10,1,1.865757772047073e-10,0,1.865757772047073e-10,-0.001126542351910228
2.266401896074238e-10,0,2.266401896074238e-10,0.33,2.266401896074238e-10,1,2.266401896074238e-10,0.66,2.266401896074238e-10,1,2.266401896074238e-10,0,2.266401896074238e-10,-0.001582343833724831
2.803689071594638e-10,0,2.803689071594638e-10,0.33,2.803689071594638e-10,1,2.803689071594638e-10,0.66,2.803689071594638e-10,1,2.803689071594638e-10,0,2.803689071594638e-10,-0.002282401452759096
3.164424100560099e-10,0,3.164424100560099e-10,0.33,3.164424100560099e-10,1,3.164424100560099e-10,0.66,3.164424100560099e-10,1,3.164424100560099e-10,0,3.164424100560099e-10,-0.003027782839267568
3.53082658101003e-10,0,3.53082658101003e-10,0.33,3.53082658101003e-10,1,3.53082658101003e-10,0.66,3.53082658101003e-10,1,3.53082658101003e-10,0,3.53082658101003e-10,-0.003918390507901659
3.901518401125957e-10,0,3.901518401125957e-10,0.33,3.901518401125957e-10,1,3.901518401125957e-10,0.66,3.901518401125957e-10,1,3.901518401125957e-10,0,3.901518401125957e-10,-0.004782550415105541
4.289893826259682e-10,0,4.289893826259682e-10,0.33,4.289893826259682e-10,1,4.289893826259682e-10,0.66,4.289893826259682e-10,1,4.289893826259682e-10,0,4.289893826259682e-10,-0.005584504206574469
4.864629319624496e-10,0,4.864629319624496e-10,0.33,4.864629319624496e-10,1,4.864629319624496e-10,0.66,4.864629319624496e-10,1,4.864629319624496e-10,0,4.864629319624496e-10,-0.00647913289704649
5.635387165838172e-10,0,5.635387165838172e-10,0.33,5.635387165838172e-10,1,5.635387165838172e-10,0.66,5.635387165838172e-10,1,5.635387165838172e-10,0,5.635387165838172e-10,-0.006973887448225701
6.024403468524372e-10,0,6.024403468524372e-10,0.33,6.024403468524372e-10,1,6.024403468524372e-10,0.66,6.024403468524372e-10,1,6.024403468524372e-10,0,6.024403468524372e-10,-0.006847468738177547
6.335265019058386e-10,0,6.335265019058386e-10,0.33,6.335265019058386e-10,1,6.335265019058386e-10,0.66,6.335265019058386e-10,1,6.335265019058386e-10,0,6.335265019058386e-10,-0.006412626874624786
